time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-09-10T17:18:53.856Z,31.66750727,-104.3816511,7.622631836000001,2.5,ml,37,66,0.03983839769,0.3,tx,tx2023rtta,2023-09-13T15:31:17.040Z,"56 km S of Whites City, New Mexico",earthquake,0.8095218262,0.8075472606000001,0.1,19,reviewed,tx,tx
2023-09-10T21:32:44.181Z,31.56496156,-104.0237212,8.702368164,2.5,ml,17,58,0.03971163465,0.1,tx,tx2023rubl,2023-10-08T18:36:20.040Z,"35 km NW of Toyah, Texas",earthquake,0.8401281232,0.8912503412,0.1,19,reviewed,tx,tx
2023-09-10T23:46:12.927Z,37.1967,-104.7813,1.963,3.6,mwr,28,59,0.075,0.53,us,us7000kuwn,2023-10-11T02:48:24.478Z,"8 km NNW of Segundo, Colorado",earthquake,3.07,5.485,0.083,14,reviewed,us,us
2023-09-11T00:23:35.998Z,31.65478102,-104.280893,8.445288086,2.9,ml,59,58,0.02167422663,0.3,tx,tx2023ruhc,2023-10-11T02:51:09.040Z,"58 km S of Whites City, New Mexico",earthquake,0.7630505774000002,0.7357579707,0.1,32,reviewed,tx,tx
2023-09-11T02:53:57.776Z,37.19,-104.7149,7.047,3.4,ml,15,82,0.087,0.61,us,us7000kuy4,2023-10-12T12:55:07.040Z,"Colorado",earthquake,1.87,1.796,0.069,35,reviewed,us,us
2023-09-11T02:57:03.796Z,37.5552,-104.711,5,2.5,ml,9,87,0.436,0.68,us,us6000lf2l,2023-10-12T13:39:29.040Z,"9 km SE of Walsenburg, Colorado",earthquake,2.12,1.891,0.128,8,reviewed,us,us
2023-09-11T06:09:17.930Z,33.7723333,-116.149,5.25,2.55,ml,89,33,0.06513,0.14,ci,ci39662442,2023-10-30T12:41:56.095Z,"8 km NE of Indio, CA",earthquake,0.12,0.38,0.201,26,reviewed,ci,ci
2023-09-11T07:17:49.890Z,39.8678333,-121.0091667,1.53,2.54,md,70,43,0.3573,0.25,nc,nc73935651,2023-09-13T07:12:47.040Z,"9 km SSE of Meadow Valley, CA",earthquake,0.24,1.63,0.135,67,reviewed,nc,nc
2023-09-11T09:35:33.460Z,39.3005,-122.7956667,6.14,2.5,md,75,62,0.1495,0.14,nc,nc73935691,2023-10-25T12:54:14.040Z,"18 km NNE of Upper Lake, CA",earthquake,0.16,0.66,0.239,102,reviewed,nc,nc
2023-09-11T11:32:28.379Z,31.6574241,-104.3772564,6.131567383,3.1,ml,63,58,0.04671835208,0.3,tx,tx2023rvdd,2023-09-22T07:45:41.040Z,"57 km S of Whites City, New Mexico",earthquake,0.6859440361,0.5905639471000002,0.1,35,reviewed,tx,tx
