date,Midwest,National,Northeast,South,West,date_period
2023-04-01,2.2462331446880675,2.1706895617031954,1.9790130601465161,1.6130431595148518,2.2734647599260214,All Results
2023-04-08,2.174489550720086,2.0209929693545057,1.7696449985793985,1.6677271504665065,2.1435591574302997,All Results
2023-04-15,1.663009891818219,1.7292747617829232,1.5359662525874158,1.6288715725892895,1.9878097720318348,All Results
2023-04-22,1.6729364399579305,1.4639104218258483,1.2897113080281324,1.3062188905469687,1.533228399239767,All Results
2023-04-29,1.436457243690088,1.3395471361560287,1.2042322642300383,1.229593683430953,1.2673456848701738,All Results
2023-05-06,1.3783043723054536,1.3440134688488854,1.2765690911726495,1.2432504395666648,1.4537557385392428,All Results
2023-05-13,1.47522006453854,1.4594755380542535,1.2412799008649893,1.5566590783665541,1.3464459062400806,All Results
2023-05-20,1.3687817858786133,1.4403936922196903,1.3338419322872777,1.5979900549823476,1.4405908513582157,All Results
2023-05-27,1.316665558505875,1.3727060659615529,1.332853355543047,1.644637808404367,1.364501423482578,All Results
2023-06-03,1.1707940918471251,1.2680437194426326,1.1731847577021368,1.4231290810831068,1.2875302603916097,All Results
2023-06-10,1.7182192691964007,1.4989526753060833,1.2120785871951774,1.6279157136885551,1.3650357927186771,All Results
2023-06-17,1.2199240072178712,1.3433609953692134,1.2017194573972125,1.5091052728161574,1.3838612501070962,All Results
2023-06-24,1.285060162323081,1.349720852362902,1.2074100210549727,1.4479895677760726,1.3850252448535043,All Results
2023-07-01,1.250255154463039,1.354388539816756,1.5563930739522744,1.4246334143553128,1.34916443167416,All Results
2023-07-08,1.3243686673163402,1.3530801369874292,1.4210541710154538,1.3472130418933341,1.3877641086450563,All Results
2023-07-15,1.417365978334327,1.474803324474663,1.6299002734223211,1.4533277531016502,1.474803324474663,All Results
2023-07-22,1.3345357206528279,1.4904449863431746,1.5488721770349039,1.7607490708582114,1.5270668360202944,All Results
2023-07-29,1.1820845826471076,1.3812907547375093,1.477304317799994,1.568529558467358,1.4210872812593676,All Results
2023-08-05,1.2477752937977193,1.3775875145234535,1.4590872128337622,1.4086490357507373,1.4875924591991692,All Results
2023-08-12,1.3993261663698415,1.4558057901844157,1.4558057901844157,1.5542946585287514,1.4435016149223474,All Results
2023-08-19,1.4565269883231733,1.5086877280372222,1.3463593879088378,1.7261911939794459,1.4821986742590003,All Results
