date,Midwest,National,Northeast,South,West,date_period
2023-03-11,5.754278532559808,4.439046331008318,2.588377405959765,2.795919859627001,5.669640688593338,All Results
2023-03-18,5.761886538804804,4.70600217931311,3.446811366708882,3.0188311124701697,5.956478734386096,All Results
2023-03-25,5.351458397220757,4.398199266498444,2.8509592278121567,3.674049256276541,5.274419007574187,All Results
2023-04-01,4.278642291651939,3.453159475420101,1.7790814289363448,2.981633362618169,4.3353321818942945,All Results
2023-04-08,3.9989437343104903,2.898354262190714,1.5201604851075228,2.3722104979662784,3.3964636898827623,All Results
2023-04-15,3.2814538493444827,2.7956797829963307,1.436284140372826,2.173817701438761,3.3420063562441515,All Results
2023-04-22,3.027137273623414,2.1507310254335765,1.09898733628878,1.8345214124226832,2.6393801958737573,All Results
2023-04-29,2.256709179014104,1.8964067131906635,1.2190076812039727,1.756503248920366,2.2134703295947533,All Results
2023-05-06,2.3098695976932246,2.033926001032466,1.4597102124062658,1.9116287478812561,2.521186650819291,All Results
2023-05-13,2.279668000865177,1.9605158163646834,1.241097103907209,1.7752181027562024,2.22619550369299,All Results
2023-05-20,1.8101746350214067,1.6857019399199205,1.0698353224637875,1.577257178302445,2.1225381632488087,All Results
2023-05-27,1.7707785793762527,1.5673871802421204,1.0878471728866352,1.4802634564096417,1.675523150763255,All Results
2023-06-03,1.2743535931663266,1.301783124404143,1.0,1.445784744412888,1.5749166580869673,All Results
2023-06-10,1.0864428606825127,1.1428854049381398,1.0,1.2627546002487557,1.4290687158362858,All Results
2023-06-17,1.1551558915293152,1.1587165765482648,1.04080577888338,1.21665162076668,1.2749927719346097,All Results
2023-06-24,1.0186945150271889,1.2046101846117212,1.0437961879458368,1.4046791885675027,1.608564902061865,All Results
2023-07-01,1.1873179949056756,1.3619561142651104,1.1047572198609243,1.650728048794117,1.8275157783983456,All Results
2023-07-08,1.300536773598175,1.6277726784903899,1.393916900828527,1.9495956642928394,1.9472053548193375,All Results
2023-07-15,1.3834936353374578,1.8319743368259294,1.8035404577428613,1.9608883398791472,2.5879896021440865,All Results
2023-07-22,1.6020766929436392,2.0896102677194617,1.9736436545132365,2.299293804116733,3.352155830760209,All Results
2023-07-29,1.8170680745217684,2.657115182117022,2.4804085713156496,3.2947476738617345,4.140164187686188,All Results
2023-08-05,2.2445748555364684,3.219004888523928,2.711933770463502,3.890240211873999,4.707835910342373,All Results
2023-08-12,2.878400885904999,3.9608776295210633,3.3130217129600537,4.744254897640815,5.57801466524489,All Results
2023-08-19,3.8195202686720244,4.325916981407059,3.1662974960448014,5.339743663954064,5.622856595708119,All Results
2023-08-26,4.203128097233115,4.834101277751294,3.7030347811353623,6.123525133703554,6.03158257535164,All Results
2023-09-02,5.041219247355212,5.6803555606743075,4.404553096071979,6.4803358196276335,6.593463181980667,All Results
2023-09-09,5.891489477929578,6.236090404481441,5.777365024951527,6.7675651117889775,6.447794028196025,All Results
2023-09-09,5.891489477929578,6.236090404481441,5.777365024951527,6.7675651117889775,6.447794028196025,1 Year
2023-09-16,5.3238737234451206,5.52021883086884,6.289006217318851,4.814353924392333,5.667882896885864,All Results
2023-09-16,5.3238737234451206,5.52021883086884,6.289006217318851,4.814353924392333,5.667882896885864,1 Year
2023-09-23,5.0957869737162875,5.329127628992065,5.981587755354234,4.50672565014891,5.634210496227215,All Results
2023-09-23,5.0957869737162875,5.329127628992065,5.981587755354234,4.50672565014891,5.634210496227215,1 Year
2023-09-30,4.536653762785527,5.015804944380079,6.913375458676896,3.86428476703831,5.131295778568811,All Results
2023-09-30,4.536653762785527,5.015804944380079,6.913375458676896,3.86428476703831,5.131295778568811,1 Year
2023-10-07,3.876874132531479,4.47280228509187,6.390902552391688,3.1931920606173465,4.6378242994621655,All Results
2023-10-07,3.876874132531479,4.47280228509187,6.390902552391688,3.1931920606173465,4.6378242994621655,1 Year
2023-10-14,3.401756426176674,3.812097230022748,4.471399438133333,3.0750223683929163,5.130783649764925,All Results
2023-10-14,3.401756426176674,3.812097230022748,4.471399438133333,3.0750223683929163,5.130783649764925,1 Year
2023-10-21,3.583656745474113,3.894545216543063,4.304160694509534,3.131923014265605,5.083907410972951,All Results
2023-10-21,3.583656745474113,3.894545216543063,4.304160694509534,3.131923014265605,5.083907410972951,1 Year
2023-10-28,4.246952833092968,4.056320820908766,4.194523977643025,3.206154079094243,4.062839386219075,All Results
2023-10-28,4.246952833092968,4.056320820908766,4.194523977643025,3.206154079094243,4.062839386219075,1 Year
2023-11-04,4.535344255240757,4.30350314797315,4.715395264325913,3.3114247058995545,4.2823727750793905,All Results
2023-11-04,4.535344255240757,4.30350314797315,4.715395264325913,3.3114247058995545,4.2823727750793905,1 Year
2023-11-11,5.723889454520812,4.789598079135201,3.6575188277720536,3.7178910472306113,5.298913069579076,All Results
2023-11-11,5.723889454520812,4.789598079135201,3.6575188277720536,3.7178910472306113,5.298913069579076,1 Year
2023-11-18,6.609360230735648,5.234065439265072,4.406825488706284,3.8049104026212595,6.077665997042752,All Results
2023-11-18,6.609360230735648,5.234065439265072,4.406825488706284,3.8049104026212595,6.077665997042752,1 Year
2023-11-25,8.086148435076607,5.947591931711259,5.897046049322929,3.8411123529293816,5.155857514837543,All Results
2023-11-25,8.086148435076607,5.947591931711259,5.897046049322929,3.8411123529293816,5.155857514837543,1 Year
2023-12-02,10.878125926948247,7.506665002825415,6.661392265248704,5.678099475396434,6.375223363807038,All Results
2023-12-02,10.878125926948247,7.506665002825415,6.661392265248704,5.678099475396434,6.375223363807038,1 Year
2023-12-09,11.218941526700998,8.558090748228576,8.45412471196134,6.066313752778964,7.185352374133005,All Results
2023-12-09,11.218941526700998,8.558090748228576,8.45412471196134,6.066313752778964,7.185352374133005,1 Year
2023-12-16,12.154282252443922,9.760988697062094,10.418858284644944,7.5706606787994,7.574590812680018,All Results
2023-12-16,12.154282252443922,9.760988697062094,10.418858284644944,7.5706606787994,7.574590812680018,1 Year
2023-12-23,12.485180791336546,11.351646955624169,10.862466927303643,10.542997991182897,11.034143389473485,All Results
2023-12-23,12.485180791336546,11.351646955624169,10.862466927303643,10.542997991182897,11.034143389473485,1 Year
2023-12-30,14.977532766638767,13.419830702552858,12.929728642088524,13.074432736362148,11.82634681250073,All Results
2023-12-30,14.977532766638767,13.419830702552858,12.929728642088524,13.074432736362148,11.82634681250073,1 Year
2024-01-06,12.425384741094046,12.719225540027622,12.204350120626795,13.183220276756867,13.435029246795331,All Results
2024-01-06,12.425384741094046,12.719225540027622,12.204350120626795,13.183220276756867,13.435029246795331,1 Year
2024-01-13,11.066461228798754,10.312686109330492,9.378080346416656,10.719382407294987,9.264488604410477,All Results
2024-01-13,11.066461228798754,10.312686109330492,9.378080346416656,10.719382407294987,9.264488604410477,1 Year
2024-01-20,7.802990569179235,8.297621626723611,7.849325076449242,10.342868633733925,8.709357106589602,All Results
2024-01-20,7.802990569179235,8.297621626723611,7.849325076449242,10.342868633733925,8.709357106589602,1 Year
2024-01-27,7.115785795693027,8.124723553575855,8.392124941800859,11.36880966221222,7.609894774892108,All Results
2024-01-27,7.115785795693027,8.124723553575855,8.392124941800859,11.36880966221222,7.609894774892108,1 Year
2024-02-03,6.406372402525948,6.994786914169454,6.4383856651729126,10.221092904742573,6.412614492684772,All Results
