Gene,Gene_Symbol,Sample,Sample_Type,Expression
203980_at,FABP4,GSM398098,Normal,1285.29
203980_at,FABP4,GSM398099,Cancer,403.828
203980_at,FABP4,GSM398100,Normal,1377.35
203980_at,FABP4,GSM398101,Cancer,608.95
203980_at,FABP4,GSM398102,Normal,7087.2
203980_at,FABP4,GSM398103,Cancer,1192.17
203980_at,FABP4,GSM398104,Normal,10906.5
203980_at,FABP4,GSM398105,Cancer,891.074
203980_at,FABP4,GSM398106,Normal,11796.0
203980_at,FABP4,GSM398107,Cancer,1417.61
203980_at,FABP4,GSM398108,Normal,11360.6
203980_at,FABP4,GSM398109,Cancer,5150.89
203980_at,FABP4,GSM398110,Normal,12538.4
203980_at,FABP4,GSM398111,Cancer,1025.88
203980_at,FABP4,GSM398112,Normal,6384.83
203980_at,FABP4,GSM398113,Cancer,3244.98
203980_at,FABP4,GSM398114,Normal,7404.77
203980_at,FABP4,GSM398115,Cancer,6194.86
203980_at,FABP4,GSM398116,Normal,11873.5
203980_at,FABP4,GSM398117,Cancer,1481.84
203980_at,FABP4,GSM398118,Normal,9654.52
203980_at,FABP4,GSM398119,Cancer,7189.29
203980_at,FABP4,GSM398120,Normal,6607.39
203980_at,FABP4,GSM398121,Cancer,4015.85
203980_at,FABP4,GSM398122,Normal,5076.29
203980_at,FABP4,GSM398123,Cancer,493.055
203980_at,FABP4,GSM398124,Normal,8977.88
203980_at,FABP4,GSM398125,Cancer,2135.04
203980_at,FABP4,GSM398126,Normal,9694.59
203980_at,FABP4,GSM398127,Cancer,1753.83
203980_at,FABP4,GSM398128,Normal,11777.5
203980_at,FABP4,GSM398129,Cancer,836.851
203980_at,FABP4,GSM398130,Normal,9813.58
203980_at,FABP4,GSM398131,Cancer,5662.87
203980_at,FABP4,GSM398132,Normal,10087.8
203980_at,FABP4,GSM398133,Cancer,1756.69
203980_at,FABP4,GSM398134,Normal,7046.85
203980_at,FABP4,GSM398135,Cancer,4986.77
203980_at,FABP4,GSM398136,Normal,7987.24
203980_at,FABP4,GSM398137,Cancer,2236.76
203980_at,FABP4,GSM398138,Normal,8927.48
203980_at,FABP4,GSM398139,Cancer,4351.31
203980_at,FABP4,GSM398140,Normal,9141.9
203980_at,FABP4,GSM398141,Cancer,978.299
203980_at,FABP4,GSM398142,Normal,10172.1
203980_at,FABP4,GSM398143,Cancer,4867.44
203980_at,FABP4,GSM398144,Normal,10504.6
203980_at,FABP4,GSM398145,Cancer,3275.05
203980_at,FABP4,GSM398146,Normal,10413.2
203980_at,FABP4,GSM398147,Cancer,8940.21
203980_at,FABP4,GSM398148,Normal,10642.1
203980_at,FABP4,GSM398149,Cancer,2293.41
203980_at,FABP4,GSM398150,Normal,11083.8
203980_at,FABP4,GSM398151,Cancer,2768.83
203980_at,FABP4,GSM398152,Normal,10264.4
203980_at,FABP4,GSM398153,Cancer,8609.93
203980_at,FABP4,GSM398154,Normal,10364.2
203980_at,FABP4,GSM398155,Cancer,4502.99
203980_at,FABP4,GSM398156,Normal,11281.9
203980_at,FABP4,GSM398157,Cancer,1421.43
203980_at,FABP4,GSM398158,Normal,11728.9
203980_at,FABP4,GSM398159,Cancer,4712.06
211745_x_at,HBA2,GSM398074,Normal,225.502
211745_x_at,HBA2,GSM398075,Cancer,186.923
211745_x_at,HBA2,GSM398076,Normal,6061.27
211745_x_at,HBA2,GSM398077,Cancer,170.09
211745_x_at,HBA2,GSM398078,Normal,214.986
211745_x_at,HBA2,GSM398079,Cancer,167.532
211745_x_at,HBA2,GSM398080,Normal,898.821
211745_x_at,HBA2,GSM398081,Cancer,100.605
211745_x_at,HBA2,GSM398082,Normal,2316.25
211745_x_at,HBA2,GSM398083,Cancer,483.296
211745_x_at,HBA2,GSM398084,Normal,3354.48
211745_x_at,HBA2,GSM398085,Cancer,220.264
211745_x_at,HBA2,GSM398086,Normal,206.532
211745_x_at,HBA2,GSM398087,Cancer,220.225
211745_x_at,HBA2,GSM398088,Normal,3172.27
211745_x_at,HBA2,GSM398089,Cancer,210.26
211745_x_at,HBA2,GSM398090,Normal,1145.34
211745_x_at,HBA2,GSM398091,Cancer,265.32
211745_x_at,HBA2,GSM398092,Normal,3073.46
211745_x_at,HBA2,GSM398093,Cancer,260.976
211745_x_at,HBA2,GSM398094,Normal,1003.39
211745_x_at,HBA2,GSM398095,Cancer,225.879
211745_x_at,HBA2,GSM398096,Normal,263.178
211745_x_at,HBA2,GSM398097,Cancer,215.511
211745_x_at,HBA2,GSM398098,Normal,238.721
211745_x_at,HBA2,GSM398099,Cancer,215.305
211745_x_at,HBA2,GSM398100,Normal,220.129
211745_x_at,HBA2,GSM398101,Cancer,183.35
211745_x_at,HBA2,GSM398102,Normal,8395.87
211745_x_at,HBA2,GSM398103,Cancer,1193.32
211745_x_at,HBA2,GSM398104,Normal,12243.5
211745_x_at,HBA2,GSM398105,Cancer,725.896
211745_x_at,HBA2,GSM398106,Normal,7022.56
211745_x_at,HBA2,GSM398107,Cancer,657.501
211745_x_at,HBA2,GSM398108,Normal,8896.61
211745_x_at,HBA2,GSM398109,Cancer,565.365
211745_x_at,HBA2,GSM398110,Normal,12090.6
211745_x_at,HBA2,GSM398111,Cancer,215.662
211745_x_at,HBA2,GSM398112,Normal,322.103
211745_x_at,HBA2,GSM398113,Cancer,589.003
211745_x_at,HBA2,GSM398114,Normal,1437.99
211745_x_at,HBA2,GSM398115,Cancer,1439.15
211745_x_at,HBA2,GSM398116,Normal,1732.98
211745_x_at,HBA2,GSM398117,Cancer,292.455
211745_x_at,HBA2,GSM398118,Normal,10841.4
211745_x_at,HBA2,GSM398119,Cancer,9095.6
211745_x_at,HBA2,GSM398120,Normal,4111.08
211745_x_at,HBA2,GSM398121,Cancer,509.836
211745_x_at,HBA2,GSM398122,Normal,1186.98
211745_x_at,HBA2,GSM398123,Cancer,394.143
211745_x_at,HBA2,GSM398124,Normal,3907.06
211745_x_at,HBA2,GSM398125,Cancer,405.287
211745_x_at,HBA2,GSM398126,Normal,8330.25
211745_x_at,HBA2,GSM398127,Cancer,324.509
211745_x_at,HBA2,GSM398128,Normal,8160.19
211745_x_at,HBA2,GSM398129,Cancer,333.054
211745_x_at,HBA2,GSM398130,Normal,8037.75
211745_x_at,HBA2,GSM398131,Cancer,293.149
211745_x_at,HBA2,GSM398132,Normal,6330.12
211745_x_at,HBA2,GSM398133,Cancer,383.011
211745_x_at,HBA2,GSM398134,Normal,5777.27
211745_x_at,HBA2,GSM398135,Cancer,1252.16
211745_x_at,HBA2,GSM398136,Normal,7431.45
211745_x_at,HBA2,GSM398137,Cancer,277.755
211745_x_at,HBA2,GSM398138,Normal,6884.92
211745_x_at,HBA2,GSM398139,Cancer,870.168
211745_x_at,HBA2,GSM398140,Normal,11270.2
211745_x_at,HBA2,GSM398141,Cancer,966.426
211745_x_at,HBA2,GSM398142,Normal,12061.0
211745_x_at,HBA2,GSM398143,Cancer,890.641
211745_x_at,HBA2,GSM398144,Normal,11427.1
211745_x_at,HBA2,GSM398145,Cancer,429.988
211745_x_at,HBA2,GSM398146,Normal,12171.6
211745_x_at,HBA2,GSM398147,Cancer,6088.94
211745_x_at,HBA2,GSM398148,Normal,9625.03
211745_x_at,HBA2,GSM398149,Cancer,407.735
211745_x_at,HBA2,GSM398150,Normal,5434.74
211745_x_at,HBA2,GSM398151,Cancer,1101.26
211745_x_at,HBA2,GSM398152,Normal,6694.93
211745_x_at,HBA2,GSM398153,Cancer,1323.06
211745_x_at,HBA2,GSM398154,Normal,2466.26
211745_x_at,HBA2,GSM398155,Cancer,660.974
211745_x_at,HBA2,GSM398156,Normal,6369.23
211745_x_at,HBA2,GSM398157,Cancer,217.141
211745_x_at,HBA2,GSM398158,Normal,1012.98
211745_x_at,HBA2,GSM398159,Cancer,961.489
213614_x_at,EEF1A1,GSM398074,Normal,8341.82
213614_x_at,EEF1A1,GSM398075,Cancer,9859.02
213614_x_at,EEF1A1,GSM398076,Normal,8287.92
213614_x_at,EEF1A1,GSM398077,Cancer,8276.54
213614_x_at,EEF1A1,GSM398078,Normal,7069.53
213614_x_at,EEF1A1,GSM398079,Cancer,7048.75
213614_x_at,EEF1A1,GSM398080,Normal,5348.64
213614_x_at,EEF1A1,GSM398081,Cancer,8793.49
213614_x_at,EEF1A1,GSM398082,Normal,7686.56
213614_x_at,EEF1A1,GSM398083,Cancer,6070.47
213614_x_at,EEF1A1,GSM398084,Normal,6097.92
213614_x_at,EEF1A1,GSM398085,Cancer,6967.19
213614_x_at,EEF1A1,GSM398086,Normal,7945.09
213614_x_at,EEF1A1,GSM398087,Cancer,6051.44
213614_x_at,EEF1A1,GSM398088,Normal,6038.3
213614_x_at,EEF1A1,GSM398089,Cancer,9305.15
213614_x_at,EEF1A1,GSM398090,Normal,5965.65
213614_x_at,EEF1A1,GSM398091,Cancer,9165.91
213614_x_at,EEF1A1,GSM398092,Normal,5030.68
213614_x_at,EEF1A1,GSM398093,Cancer,7764.56
213614_x_at,EEF1A1,GSM398094,Normal,6942.03
213614_x_at,EEF1A1,GSM398095,Cancer,7237.27
213614_x_at,EEF1A1,GSM398096,Normal,8820.02
213614_x_at,EEF1A1,GSM398097,Cancer,4156.66
213614_x_at,EEF1A1,GSM398098,Normal,6600.48
213614_x_at,EEF1A1,GSM398099,Cancer,5705.54
213614_x_at,EEF1A1,GSM398100,Normal,5418.24
213614_x_at,EEF1A1,GSM398101,Cancer,8734.41
213614_x_at,EEF1A1,GSM398102,Normal,7923.68
213614_x_at,EEF1A1,GSM398103,Cancer,8218.21
213614_x_at,EEF1A1,GSM398104,Normal,14212.2
213614_x_at,EEF1A1,GSM398105,Cancer,6474.22
213614_x_at,EEF1A1,GSM398106,Normal,12679.9
213614_x_at,EEF1A1,GSM398107,Cancer,6574.3
213614_x_at,EEF1A1,GSM398108,Normal,12879.0
213614_x_at,EEF1A1,GSM398109,Cancer,6276.78
213614_x_at,EEF1A1,GSM398110,Normal,13890.0
213614_x_at,EEF1A1,GSM398111,Cancer,7017.49
213614_x_at,EEF1A1,GSM398112,Normal,7611.83
213614_x_at,EEF1A1,GSM398113,Cancer,10145.2
213614_x_at,EEF1A1,GSM398114,Normal,7445.26
213614_x_at,EEF1A1,GSM398115,Cancer,7897.22
213614_x_at,EEF1A1,GSM398116,Normal,17156.0
213614_x_at,EEF1A1,GSM398117,Cancer,13663.7
213614_x_at,EEF1A1,GSM398118,Normal,12751.0
213614_x_at,EEF1A1,GSM398119,Cancer,12110.4
213614_x_at,EEF1A1,GSM398120,Normal,7957.85
213614_x_at,EEF1A1,GSM398121,Cancer,9199.31
213614_x_at,EEF1A1,GSM398122,Normal,7660.72
213614_x_at,EEF1A1,GSM398123,Cancer,6835.46
213614_x_at,EEF1A1,GSM398124,Normal,10391.0
213614_x_at,EEF1A1,GSM398125,Cancer,11582.2
213614_x_at,EEF1A1,GSM398126,Normal,15760.7
213614_x_at,EEF1A1,GSM398127,Cancer,17570.6
213614_x_at,EEF1A1,GSM398128,Normal,15467.6
213614_x_at,EEF1A1,GSM398129,Cancer,13513.3
213614_x_at,EEF1A1,GSM398130,Normal,14647.9
213614_x_at,EEF1A1,GSM398131,Cancer,14480.4
213614_x_at,EEF1A1,GSM398132,Normal,12826.8
213614_x_at,EEF1A1,GSM398133,Cancer,12649.5
213614_x_at,EEF1A1,GSM398134,Normal,10197.8
213614_x_at,EEF1A1,GSM398135,Cancer,16092.4
213614_x_at,EEF1A1,GSM398136,Normal,11680.1
213614_x_at,EEF1A1,GSM398137,Cancer,12592.9
213614_x_at,EEF1A1,GSM398138,Normal,10771.1
213614_x_at,EEF1A1,GSM398139,Cancer,11352.9
213614_x_at,EEF1A1,GSM398140,Normal,11526.8
213614_x_at,EEF1A1,GSM398141,Cancer,11841.5
213614_x_at,EEF1A1,GSM398142,Normal,14005.3
213614_x_at,EEF1A1,GSM398143,Cancer,13296.2
213614_x_at,EEF1A1,GSM398144,Normal,13061.6
213614_x_at,EEF1A1,GSM398145,Cancer,14053.0
213614_x_at,EEF1A1,GSM398146,Normal,15707.5
213614_x_at,EEF1A1,GSM398147,Cancer,16052.8
213614_x_at,EEF1A1,GSM398148,Normal,12982.3
213614_x_at,EEF1A1,GSM398149,Cancer,15290.3
213614_x_at,EEF1A1,GSM398150,Normal,13898.5
213614_x_at,EEF1A1,GSM398151,Cancer,14568.6
213614_x_at,EEF1A1,GSM398152,Normal,13316.1
213614_x_at,EEF1A1,GSM398153,Cancer,10532.6
213614_x_at,EEF1A1,GSM398154,Normal,6319.81
213614_x_at,EEF1A1,GSM398155,Cancer,10320.6
213614_x_at,EEF1A1,GSM398156,Normal,13877.8
213614_x_at,EEF1A1,GSM398157,Cancer,17876.0
213614_x_at,EEF1A1,GSM398158,Normal,14919.2
213614_x_at,EEF1A1,GSM398159,Cancer,14542.7
204151_x_at,AKR1C1,GSM398074,Normal,1419.31
204151_x_at,AKR1C1,GSM398075,Cancer,1454.94
204151_x_at,AKR1C1,GSM398076,Normal,2151.11
204151_x_at,AKR1C1,GSM398077,Cancer,374.745
204151_x_at,AKR1C1,GSM398078,Normal,3441.05
204151_x_at,AKR1C1,GSM398079,Cancer,526.182
204151_x_at,AKR1C1,GSM398080,Normal,3910.11
204151_x_at,AKR1C1,GSM398081,Cancer,2871.59
204151_x_at,AKR1C1,GSM398082,Normal,4777.67
204151_x_at,AKR1C1,GSM398083,Cancer,2285.98
204151_x_at,AKR1C1,GSM398084,Normal,4417.04
204151_x_at,AKR1C1,GSM398085,Cancer,978.57
204151_x_at,AKR1C1,GSM398086,Normal,912.96
204151_x_at,AKR1C1,GSM398087,Cancer,692.874
204151_x_at,AKR1C1,GSM398088,Normal,4996.64
204151_x_at,AKR1C1,GSM398089,Cancer,681.958
204151_x_at,AKR1C1,GSM398090,Normal,3887.62
204151_x_at,AKR1C1,GSM398091,Cancer,1166.1
204151_x_at,AKR1C1,GSM398092,Normal,3736.34
204151_x_at,AKR1C1,GSM398093,Cancer,818.231
204151_x_at,AKR1C1,GSM398094,Normal,4512.28
204151_x_at,AKR1C1,GSM398095,Cancer,529.499
204151_x_at,AKR1C1,GSM398096,Normal,5548.61
204151_x_at,AKR1C1,GSM398097,Cancer,573.383
204151_x_at,AKR1C1,GSM398098,Normal,702.667
204151_x_at,AKR1C1,GSM398099,Cancer,657.024
204151_x_at,AKR1C1,GSM398100,Normal,1477.3
204151_x_at,AKR1C1,GSM398101,Cancer,851.933
204151_x_at,AKR1C1,GSM398102,Normal,6120.02
204151_x_at,AKR1C1,GSM398103,Cancer,1119.17
204151_x_at,AKR1C1,GSM398104,Normal,11513.6
204151_x_at,AKR1C1,GSM398105,Cancer,596.447
204151_x_at,AKR1C1,GSM398106,Normal,10814.7
204151_x_at,AKR1C1,GSM398107,Cancer,3537.88
204151_x_at,AKR1C1,GSM398108,Normal,10167.5
204151_x_at,AKR1C1,GSM398109,Cancer,5212.67
204151_x_at,AKR1C1,GSM398110,Normal,11002.8
204151_x_at,AKR1C1,GSM398111,Cancer,1115.34
204151_x_at,AKR1C1,GSM398112,Normal,5229.55
204151_x_at,AKR1C1,GSM398113,Cancer,2593.8
204151_x_at,AKR1C1,GSM398114,Normal,6396.52
204151_x_at,AKR1C1,GSM398115,Cancer,4574.19
204151_x_at,AKR1C1,GSM398116,Normal,8683.47
204151_x_at,AKR1C1,GSM398117,Cancer,1350.17
204151_x_at,AKR1C1,GSM398118,Normal,9325.89
204151_x_at,AKR1C1,GSM398119,Cancer,5252.48
204151_x_at,AKR1C1,GSM398120,Normal,6036.32
204151_x_at,AKR1C1,GSM398121,Cancer,2972.17
204151_x_at,AKR1C1,GSM398122,Normal,4595.0
204151_x_at,AKR1C1,GSM398123,Cancer,716.71
204151_x_at,AKR1C1,GSM398124,Normal,6878.69
204151_x_at,AKR1C1,GSM398125,Cancer,1245.86
204151_x_at,AKR1C1,GSM398126,Normal,11947.6
204151_x_at,AKR1C1,GSM398127,Cancer,9638.27
204151_x_at,AKR1C1,GSM398128,Normal,9943.64
204151_x_at,AKR1C1,GSM398129,Cancer,1063.62
204151_x_at,AKR1C1,GSM398130,Normal,9700.41
204151_x_at,AKR1C1,GSM398131,Cancer,3450.72
204151_x_at,AKR1C1,GSM398132,Normal,7466.17
204151_x_at,AKR1C1,GSM398133,Cancer,1338.33
204151_x_at,AKR1C1,GSM398134,Normal,7426.1
204151_x_at,AKR1C1,GSM398135,Cancer,3530.01
204151_x_at,AKR1C1,GSM398136,Normal,9149.19
204151_x_at,AKR1C1,GSM398137,Cancer,1952.49
204151_x_at,AKR1C1,GSM398138,Normal,5493.31
204151_x_at,AKR1C1,GSM398139,Cancer,1705.61
204151_x_at,AKR1C1,GSM398140,Normal,9398.56
204151_x_at,AKR1C1,GSM398141,Cancer,1099.55
204151_x_at,AKR1C1,GSM398142,Normal,8635.73
204151_x_at,AKR1C1,GSM398143,Cancer,4337.64
204151_x_at,AKR1C1,GSM398144,Normal,9680.94
204151_x_at,AKR1C1,GSM398145,Cancer,1683.37
204151_x_at,AKR1C1,GSM398146,Normal,9202.05
204151_x_at,AKR1C1,GSM398147,Cancer,7407.6
204151_x_at,AKR1C1,GSM398148,Normal,10429.1
204151_x_at,AKR1C1,GSM398149,Cancer,2433.52
204151_x_at,AKR1C1,GSM398150,Normal,7102.89
204151_x_at,AKR1C1,GSM398151,Cancer,1816.76
204151_x_at,AKR1C1,GSM398152,Normal,8913.39
204151_x_at,AKR1C1,GSM398153,Cancer,6439.76
