date,Midwest,National,Northeast,South,West
2023-07-22,1.7023679631749000,2.2807665315129400,2.026699694168710,2.500893770165140,3.3090262433378700
2023-07-29,1.9658030267737100,2.8615778639811800,2.6348495338879900,3.2286505761939200,3.9852112073841500
2023-08-05,2.578704409025670,3.363114054581460,3.04261768962186,3.8768283834061500,4.826481069095930
2023-08-12,3.182100654059190,4.346554590907210,3.8863164212182500,4.7105073450400700,5.580769191073280
2023-08-19,4.046357343695170,4.576404456172030,3.371863405764940,5.376138549185930,5.517949565704410
2023-08-26,4.415237885943330,5.154520980645840,4.273207655104580,6.175005698958550,5.9467704039767600
2023-09-02,5.40014429484337,5.954748262178160,5.404708687696520,6.256509357819810,6.582401360661290
2023-09-09,6.880831593691990,6.547384383930920,6.795228077616960,6.502454541035510,6.290254916431540
2023-09-16,6.177850053163690,5.8620666411990700,8.02287655764416,4.77011363958222,5.602948923488360
2023-09-23,5.6341767384528,5.631007849427660,7.897870478013750,4.519695329367730,5.440189070043990
2023-09-30,5.262383774180000,5.367909449612910,8.376624623073360,3.9300146029432500,4.990585219079710
2023-10-07,4.471506773507880,4.699161040011450,7.510057577477840,3.5057135629126300,4.431829722040420
2023-10-14,3.6760116441418400,4.014053404555310,5.263357343439460,3.4837739104595,4.734366939846690
2023-10-21,3.940314748229410,4.2699339291333400,5.515366172760780,3.3445904664613100,4.750572801422340
2023-10-28,4.786035156669430,4.354622089273890,5.139249179309130,3.2802499156451100,4.01085662363426
2023-11-04,5.207272072567250,4.77590569089265,5.770976422776930,3.41483898726673,4.052461404149310
2023-11-11,6.485906878664650,5.214849254067800,4.669560143080080,3.734222987402350,5.327791639618150
2023-11-18,7.631627637307830,5.833097370925930,5.225146574115900,3.889804716815810,5.75051513931567
2023-11-25,9.144637893083780,6.482485905671010,7.251410818760130,4.234408625805270,5.197033826222160
2023-12-02,13.101941907804500,7.9787018482511900,8.245342091697740,5.831754815219720,5.929696625818030
2023-12-09,13.124475268740000,8.977019779550040,10.538373538306700,6.169381567385500,6.821133302196150
2023-12-16,14.54611790149410,10.372969347337400,13.285452665118300,7.654516473625770,7.36498599832635
2023-12-23,16.010234583632600,12.509276464962800,13.433717221013800,9.777228129627010,9.880616252369160
2023-12-30,17.511035916212500,14.328538116395200,17.557735023378100,12.370564609781800,11.242339158259200
2024-01-06,14.866621203533900,13.769181974634200,15.30230126466050,12.420942209762700,12.325033226880500
2024-01-13,13.006535220003700,10.818680351306000,11.373296976542000,10.278370972734300,8.333409570837160
2024-01-20,8.84280416755224,8.903640276124550,9.571809967442690,9.88848375703748,7.970437504557460
2024-01-27,8.322030348081200,8.677121183621740,9.809506055936790,10.822257499902600,7.028382579851020
2024-01-27,8.322030348081200,8.677121183621740,9.809506055936790,10.822257499902600,7.028382579851020
2024-02-03,6.817322621271420,7.201517785754220,7.632620774432600,9.107236137550760,6.126817424760060
2024-02-03,6.817322621271420,7.201517785754220,7.632620774432600,9.107236137550760,6.126817424760060
2024-02-10,7.829851534739720,7.300406536660470,6.584641315586790,9.113604574587720,6.1960064937197100
2024-02-10,7.829851534739720,7.300406536660470,6.584641315586790,9.113604574587720,6.1960064937197100
2024-02-17,8.37717172060852,7.069241954691580,5.780534328356310,8.933507184770050,5.204611088137460
2024-02-17,8.37717172060852,7.069241954691580,5.780534328356310,8.933507184770050,5.204611088137460
2024-02-24,7.713953122370730,6.533118305907310,5.004279240331220,8.586762075761680,4.667263323216700
2024-02-24,7.713953122370730,6.533118305907310,5.004279240331220,8.586762075761680,4.667263323216700
2024-03-02,7.023617310359270,5.243301916215540,3.8108912600696900,6.983868118303970,3.384005042297840
2024-03-02,7.023617310359270,5.243301916215540,3.8108912600696900,6.983868118303970,3.384005042297840
2024-03-09,5.213577023468320,4.1807804692795100,2.2304763204735100,5.220367211412890,3.2299054199767900
2024-03-09,5.213577023468320,4.1807804692795100,2.2304763204735100,5.220367211412890,3.2299054199767900
2024-03-16,3.5790184820596100,3.1314839225471300,1.8697377457030200,4.027756395662660,2.6977536319045300
2024-03-16,3.5790184820596100,3.1314839225471300,1.8697377457030200,4.027756395662660,2.6977536319045300
2024-03-23,2.841459173893180,2.661825082167560,1.7779427233022000,3.313013141806270,2.281122202486730
2024-03-23,2.841459173893180,2.661825082167560,1.7779427233022000,3.313013141806270,2.281122202486730
2024-03-30,2.893698714314050,2.5345103100222,1.7993467506325800,2.8124839195944100,1.8088042611749600
2024-03-30,2.893698714314050,2.5345103100222,1.7993467506325800,2.8124839195944100,1.8088042611749600
2024-04-06,2.5111017467877700,2.2185931513088200,1.8162355443510300,2.671226618871070,1.7272558058859300
2024-04-06,2.5111017467877700,2.2185931513088200,1.8162355443510300,2.671226618871070,1.7272558058859300
2024-04-13,2.38410813050078,1.9238875593645900,1.715139182670630,2.156841167795070,1.4620356443003900
2024-04-13,2.38410813050078,1.9238875593645900,1.715139182670630,2.156841167795070,1.4620356443003900
2024-04-20,1.9442889323672400,1.6194913690231900,1.568031244309690,1.6808645926979200,1.290310291117360
2024-04-20,1.9442889323672400,1.6194913690231900,1.568031244309690,1.6808645926979200,1.290310291117360
2024-04-27,1.668518629862330,1.4703162461446200,1.327455404914430,1.4709873405971100,1.3647275823927200
2024-04-27,1.668518629862330,1.4703162461446200,1.327455404914430,1.4709873405971100,1.3647275823927200
2024-05-04,1.5330685458964400,1.4514694664755300,1.4584628976638200,1.4196419889995600,1.3321850546494900
2024-05-04,1.5330685458964400,1.4514694664755300,1.4584628976638200,1.4196419889995600,1.3321850546494900
2024-05-11,1.5555741425218500,1.5076225091286200,1.398026266253620,1.4060666323093800,1.767550633308690
2024-05-11,1.5555741425218500,1.5076225091286200,1.398026266253620,1.4060666323093800,1.767550633308690
2024-05-18,1.5341367479248800,1.6646236781942500,1.5421356518024900,1.5146713659629900,2.248745852713520
2024-05-18,1.5341367479248800,1.6646236781942500,1.5421356518024900,1.5146713659629900,2.248745852713520
2024-05-25,1.6238136993589100,1.819619462990950,1.4638963435023000,1.716891034301780,2.7752819911569000
2024-05-25,1.6238136993589100,1.819619462990950,1.4638963435023000,1.716891034301780,2.7752819911569000
2024-06-01,1.8240479959623700,2.0612912644411400,1.402393684906910,1.920410362770210,3.4207045090501500
2024-06-01,1.8240479959623700,2.0612912644411400,1.402393684906910,1.920410362770210,3.4207045090501500
2024-06-08,1.918013257402480,2.3344876887910700,1.510180145143160,2.1601848888377600,4.328970747038580
2024-06-08,1.918013257402480,2.3344876887910700,1.510180145143160,2.1601848888377600,4.328970747038580
2024-06-15,2.2854894221644900,2.528033147069110,1.6990878851874600,2.481734445669520,4.259789631843470
2024-06-15,2.2854894221644900,2.528033147069110,1.6990878851874600,2.481734445669520,4.259789631843470
2024-06-22,2.5628633705024200,3.154510356995490,1.9377722093389900,3.394277016272040,6.194435957036660
2024-06-22,2.5628633705024200,3.154510356995490,1.9377722093389900,3.394277016272040,6.194435957036660
2024-06-29,3.200973677731510,4.069638231514950,3.086856772699690,4.089979987152550,6.69984639163874
2024-06-29,3.200973677731510,4.069638231514950,3.086856772699690,4.089979987152550,6.69984639163874
2024-07-06,3.6147855344621400,4.631457453423660,3.34571047574097,4.889246333559250,7.097103724800600
2024-07-06,3.6147855344621400,4.631457453423660,3.34571047574097,4.889246333559250,7.097103724800600
2024-07-13,5.240923679627270,5.841937488756810,4.019184011631980,5.913234145945470,8.996340053210750
2024-07-13,5.240923679627270,5.841937488756810,4.019184011631980,5.913234145945470,8.996340053210750
2024-07-20,5.651667183286580,6.447516806440970,4.438622019862110,7.766213038985140,9.302795708087760
2024-07-20,5.651667183286580,6.447516806440970,4.438622019862110,7.766213038985140,9.302795708087760
2024-07-27,6.3309418283162800,7.244898286942880,4.788166559126710,8.725005980601750,9.851227781116820
2024-07-27,6.3309418283162800,7.244898286942880,4.788166559126710,8.725005980601750,9.851227781116820
2024-08-03,7.56312796332354,8.869310936291080,6.610879974656690,10.646935796436400,11.588801735109600
2024-08-03,7.56312796332354,8.869310936291080,6.610879974656690,10.646935796436400,11.588801735109600
2024-08-03,7.56312796332354,8.869310936291080,6.610879974656690,10.646935796436400,11.588801735109600
2024-08-10,7.021495541007120,8.70654420958669,7.129487333317690,10.834628621462900,11.229632387264500
2024-08-10,7.021495541007120,8.70654420958669,7.129487333317690,10.834628621462900,11.229632387264500
2024-08-10,7.021495541007120,8.70654420958669,7.129487333317690,10.834628621462900,11.229632387264500
2024-08-17,7.823866395360330,8.75990113153939,7.3891412574161500,9.875298278944300,10.888327197789900
2024-08-17,7.823866395360330,8.75990113153939,7.3891412574161500,9.875298278944300,10.888327197789900
2024-08-17,7.823866395360330,8.75990113153939,7.3891412574161500,9.875298278944300,10.888327197789900
2024-08-24,8.839142422687000,8.848954516203750,6.840138705261880,10.46611406615970,9.015211790866410
2024-08-24,8.839142422687000,8.848954516203750,6.840138705261880,10.46611406615970,9.015211790866410
2024-08-24,8.839142422687000,8.848954516203750,6.840138705261880,10.46611406615970,9.015211790866410
2024-08-31,9.648727086446620,8.691673446052650,6.888191329156910,9.230619798080840,8.936566357571770
2024-08-31,9.648727086446620,8.691673446052650,6.888191329156910,9.230619798080840,8.936566357571770
2024-08-31,9.648727086446620,8.691673446052650,6.888191329156910,9.230619798080840,8.936566357571770
2024-09-07,8.858049699792110,8.188922683117280,6.007191477900440,8.423911262695770,9.100216364471450
