release_year,genre,region,sales
2013,Simulation,North America,2.23
2013,Sports,North America,19.14
2013,Strategy,North America,2.3
2014,Action,North America,38.85
2014,Adventure,North America,1.8
2014,Fighting,North America,6.89
2014,Misc,North America,9.47
2014,Platform,North America,3.01
2014,Puzzle,North America,0.5900000000000001
2014,Racing,North America,5.92
2014,Role-Playing,North America,13.65
2014,Shooter,North America,30.84
2014,Simulation,North America,1.27
2014,Sports,North America,19.82
2014,Strategy,North America,0.16
2015,Action,North America,24.39
2015,Adventure,North America,2.89
2015,Fighting,North America,3.7
2015,Misc,North America,4.82
2015,Platform,North America,2.4899999999999998
2015,Puzzle,North America,0.06
2015,Racing,North America,2.09
2015,Role-Playing,North America,13.93
2015,Shooter,North America,31.94
2015,Simulation,North America,1.2
2015,Sports,North America,18.77
2015,Strategy,North America,0.5800000000000001
2016,Action,North America,9.29
2016,Adventure,North America,0.95
2016,Fighting,North America,1.84
2016,Misc,North America,0.76
2016,Platform,North America,1.29
2016,Puzzle,North America,0.0
2016,Racing,North America,0.73
2016,Role-Playing,North America,5.89
2016,Shooter,North America,16.240000000000002
2016,Simulation,North America,0.16
2016,Sports,North America,7.54
2016,Strategy,North America,0.24
2017,Action,North America,0.0
2017,Role-Playing,North America,0.0
2020,Simulation,North America,0.27
1980,Action,European Union,0.02
1980,Fighting,European Union,0.04
1980,Misc,European Union,0.15000000000000002
1980,Shooter,European Union,0.43000000000000005
1980,Sports,European Union,0.03
1981,Action,European Union,0.81
1981,Platform,European Union,0.37
1981,Puzzle,European Union,0.13
1981,Racing,European Union,0.03
1981,Shooter,European Union,0.56
1981,Simulation,European Union,0.02
1981,Sports,European Union,0.04
1982,Action,European Union,0.38
1982,Misc,European Union,0.05
1982,Platform,European Union,0.27999999999999997
1982,Puzzle,European Union,0.5800000000000001
1982,Racing,European Union,0.09000000000000001
1982,Shooter,European Union,0.21
1982,Sports,European Union,0.06
1983,Action,European Union,0.17
1983,Adventure,European Union,0.02
1983,Misc,European Union,0.0
1983,Platform,European Union,0.43
1983,Puzzle,European Union,0.05
1983,Shooter,European Union,0.03
1983,Sports,European Union,0.1
1984,Action,European Union,0.19
1984,Misc,European Union,0.0
1984,Platform,European Union,0.0
1984,Puzzle,European Union,0.18
1984,Racing,European Union,0.49
1984,Shooter,European Union,0.85
1984,Sports,European Union,0.39
1985,Action,European Union,0.38
1985,Fighting,European Union,0.0
1985,Platform,European Union,3.77
